uniqueId,clean_text,rep_score
raidergalunggung,supaya tida memakey lagi uang rakyat sudah enggak usah ada lagi gedung dprd percumah kalau di juni lagi orang-orang korup lebih naik musnahkan sajah enggak ada guna nya juga ada gedung ini karena saya sebagey rak yat enggak merasa di wakili,0.134
sijuntak79,telanjang ini saja semua wakil 2 setan yang duduk di gedung dpr,0.144
sukarnokarno582,kalau bisa jangan di rusak atau jangan di bakar bos itu kantor rakyat.... dan kalau bisa agota dewannya di ganti semua saja....,0.130
roospita69,good job...sita rampas semua yang ada itu milik rakyat,0.194
anjas.anjas11985,semua pendemo tidak ada guna dosa,0.129
user3254911951028,telanjangi dpr nya itu,0.164
gwen1799,mantap,0.405
closesecound15,kerumah pribadi.jangan ke gedung.,0.254
jonikriswanto01,"jangan gedungnya yang di rusak seharusnya ya rumahnya masing"" tikus""nya",0.207
muti_arahitam,bakar bakar nepalkan.,0.223
tiang.siapa,bagusssssse,0.000
tatachya5,paling bahayanya dpr kompak tak ada yang mau jawab para pendemo mungkit takut di culik koruptor,0.157
rahmat.hadi.supan,yang kita sendiri kalo perusakan,0.099
jumiarsih290,nepalkan pejabat nakal,0.222
s_a_n_a_m___,good,0.402
jibanyaatraa,victory of gen saja,0.188
jalisalisa221,terus hacurkan dan bubarkan,0.194
topa_anak_baik,lagi apa,0.156
milaaillaa,@ . ellyaping . tadi kkka kamu ikut demo kan lel?,0.193
yayaasss3,riasq,0.000
dee.yovan,ya beginilah kalau rakyat deh geram dengan pemerintahan yang mementingkan perut sendiri,0.122
yayah.sagita,bp prabowo gi manah tanggung jawab pada rakyat deh bubaran dpr,0.165
rorocantik84,maju terus sampel dpr menyerah,0.268
davis.nando3,demo seluruh indonesia,0.232
lisa.pratiwi38,percuma pejabat negara enggak ngrespon bukan gedung yang salah para uknum2 nya 580 mewakili partai masing-masing bukan mewakili rakyat mewakili cuan negara maauk terus berbagi rata rakyat sengsara selama merdeka kerja buruh tani enggak ada sawah lagi rakyat banyak kaum buruh pajak srh byr tinggi sedih ri,0.117
odm4900,good,0.402
pituk02161997,philippines like @ 13th,0.244
sraganprasojotran,mantap,0.405
yadavbhi710,jay ho nepali,0.197
user946877379,good,0.402
santoso51858,wow mantap,0.402
djoko.purnomo91,tinggal dpr nya di nepal kan bro,0.236
alexsonj0,gengster japanese,0.246
yunuz44_,kelas king cirebon,0.164
nuridah003,allhmdulillah..cuma kuningan yang kondusif,0.112
f_realy,mana nih termul yang ngaku2 58 % enggak ada yang kliatanan katanya paling banyak ?,0.153
ejuns_,"menangis siang malam demi rayat pret , wong pajak bumi naik terus ,kebun 1 mr harganya 10 ribu pajaknya per mr 82 ribu ,itu memikirkan rakyat pret",0.077
jack18058,iya bubarin dpr,0.223
kenapa.58,mama aku takut....,0.189
premankampung179,urutan untuk maju 1. gengster 2. stm 3. mahasiswa 4. kamera strategi cirebon bukan main,0.157
user5433206929694,bravo,0.233
ekhapratama17,butuh cirebon+banten ke jkrt. di sini lord nya masih berdiri enggak final-final,0.125
carmelapignataromarra,governi di merda,0.166
ramjava296,lumbung..yang jadi sarang tikus rakus,0.300
dangquang263,từ khi có mạng xã hội tốp tốp...đã làm cho . thế giới đảo lộn và chiến tranh.. cách mạng màu nhiều. kích động phân biệt vùng miền.. phân biệt chủng tộc.. những lời bình luận kích động. chiến tranh các nước. thật sự nguy hiểm,0.400
shanty.sa16,yang aku heranin ada saja abang2 shope disana,0.187
panglima.hitam199,kenapa harus begini.. negara sudah bertemadun..,0.168
zalfa2016,ya allah ...lindungi semua saudara sadarra ku,0.321
okokmeok,hahahahahah i love that please di more,0.298
shar_indo,"if they (the president, the goverment, the police, the army, etc.) are corrupt then they are corrupt.",0.203
id11558370435ff,kerjabagus,0.000
duabelaaaass,dapat 300m jir,0.193
qistii56,wih,0.207
xukyc,coretin gambar wd bang,0.236
aprisalap548,turunkan poto geblen..,0.138
nazizh21,adek aku ikut disitu ya ampun mana yang jadi orasi nya juga sampai sampai dia di incer,0.101
cc.kiboy_tanker,"*""katanya dulu indonesia itu cuman wilayah terpecah belah yang belum jadi negara terus karena ada nya kerajaan majapahit jadi lah negara yang dinamakan indonesia.lalu apakah ditahun 2026/2027 indonesia akan terpecah belah lagi karena adanya ketidakadilan dalam memerintah suatu negara?""* #masgandhi",0.111
bietttpptngan,manado aman aman,0.340
aqilamisry,mana tikus nya,0.222
ahmadjunaidi674,besok lampung menyusul bro,0.191
paripillay,karma,0.400
parshow_shrestha,parshow_shrestha,0.000
dedeherdiana47,ini preman apa mahasiswa sih...,0.242
muyasaroh.jaelani,brutal banget..,0.250
bang.joy851,alhamdulillah lanjut kan perjuangan kamu teman teman ku semua,0.187
sniper0808088,good job,0.401
lelzz370,jangan dirusakin di sana banyak kenangan atas perjuangan para pahlawan kita,0.109
chico.ca,the us needs something like this,0.239
viengchang_lao,việt nam cẩn thận,0.355
wansetiawan014,rombongan sakit hati,0.256
bobonyot_ganteng,caranya bagaimana.kang dedi,0.177
user97373507231221,the great,0.160
kaliwali_29,i di believe that people is more powerful tahan the government,0.172
edy238465,justru dpr yang jadi hama. dpr yang memyengsara kan rakyat. boleh rakyat enggak pernah menyusahkan . dpr,0.133
de_oliveira_uk,power tapi the people,0.261
lentera507,"dprd mah enggak rugi, toh mereka tetap di gaji, renovasi gedung nanti juga bukan pakai uang anggota dprd tapi pakai uang rakyat, pada hal yang banyak korup dan yang gajinya gede dpr pusat.",0.110
syalala.cc,kalou begini hasilnya apa. apa bisa. puleh. bukanya ngusak. lam lama enggak bisa kerja masarakat cecil. bikin desa saja,0.114
abang...benn,giliran ketangkep menangis meminta maaf ngerusak karena bayak orang coba kalow sendiri enggak bakal berani,0.106
nenydoll,astaghfirullah,0.400
pedasbukancili0,menyala indonesia,0.353
phangphang10,good,0.402
suriyati.2024,ini gara gara jokowi prabowo rakyat mahasiswa di zalimi,0.219
deni.nugraha010,dpr bubar yees,0.262
wawo867,kerusakan yang rigu rakyat juga.. nanti dibangun lagi pakai uang rakyat...demo yang santun bro...,0.160
ylobianlobian,"trus kalau sudah di kuasai, untung nya apa?",0.159
mingyu.fadhil,astaghfirullah,0.400
mas.ton.q,merdeka cirebon... hidup rakyat,0.299
nur.hadi2651,betul setuju bubarkan dpr,0.279
monj2345,wow like bangladesh,0.239
bhawel370,balez joged saudara2 ku,0.132
sep.oyag6,bangganya ngerusak aset sendiri,0.135
morgeralter,"penjarah, provokator dan yang anarkis harus ditangkap",0.127
revittaaniken,0olisine ketiduran kak,0.260
lika_4321,semakin maju rakyat,0.267
empeyo,biarkn jer ...apa yang nk mereka-mereka buat,0.112
muhammaddhimas76,mantab,0.400
papapaan1,habis rosak barang ….ganti baru guna wang yang tak berdemo pon kena bayar pajak em apa pon fikir2kan lah,0.137
giiforyou4,maju terus kawan2,0.222
alendri_milan,"menyala karena dpr, enggak pernah dengar suara rakyat, butuh sama rakyat saat pemilihan umum",0.107
fendrikjulianarieenggarp,terus mau mengapai (bertanya dengan nada penasaran),0.254
sir.vincent5,"lihat vt gue guys, makin gila nih aparat",0.277
anndaa_10,"ini lah akibat nya terlalu menypelkan rakyat, dan menindas,",0.218
yusuf.yuvi,mantap saatnya rakyat bersatu. rakyat sudah muak terlanjur kecewa,0.210
haupi_0805,thất bại của chính phủ indonesia,0.406
user43781181102195,mana kyai yang dari buntet...enggak muncul,0.251
fnsill.157,hanya cirebon yang paling capet memasuki gd dpr tidak berhari hari hanya butuh 2jam,0.115
akrambroadcast,itu'si like 6 august ini bangladesh,0.185
nguyenthuy2563,":)) cờ indonesia mà lại nói triều tiên, chịu thật",0.227
man002611,ok,0.400
alalahmed3301,from bangladesh,0.380
user3181924157739,easadihy,0.000
user3477445128655,drp,0.105
alloyb57,itulah karena pemerintah yang tidak amanah rkyat rkyat selalu di zolimin .mka marah .moga penerus pjuang 45 .yang selalu cinta ibu pertiwi .moga hdir ya demo .buat renungan ke dpan ya untuk pemerintah .allah huakbar,0.094
raymond.wild,mantap,0.405
hancom.metal8,sudah dong demo ya,0.196
mamax2530,merah putih berani mati!,0.175
gunanana4,mantap bro,0.236
pangrib378,kalau sudah rakyat yang turun tangan siapapun enggak bisa mengendalikan,0.155
alvin75698,joget dulu joget,0.313
shinichicode212,rakyat pimpinan tertinggi #molotov98 #bubarkandpr,0.238
marta.1288,mantap bro maju terus jangan menyerah,0.268
orang_jabar2,mantap,0.405
mohammad.shuhaimi6,mantap myamar no 2,0.255
hopabolah,dpr kerjaannya lambat,0.113
edizuliyant0,jangan di bakar nanti rakyat juga yang nanggung biayanya,0.129
ijo1917wongcilik,"joooooooosssssssurabaya mnyapa,. lanjutkan perjuangan,. revolusi belum selesai...",0.200
laksamana1agung,apa untungnya..,0.189
eman.sulaeman.ema1,yes sip .,0.286
sml04850,"memangnya kalo lu merusak/bakar sudah hilang. ya enggak,malah enak apa² serba baru.kursi baru ac baru biayanya dari rakyat juga yang harus byr bajak",0.152
masamad304,mantap yoh,0.405
.ihsan58,good,0.402
zulltoys,rakyat kok yang menderita nanti tiada perkerjaan me rantau di negara orang. fikir2 kan,0.132
nanda.pratama2382,mantap bosque,0.405
mizan_armand,"dibalik demo, pasti ada provokator dari kalangan mafia, ormas, bandar judol, bandar narkoba atau gengster.. itu fakta! itulah alasan adanya pembakaran fasilitas umum yang anarkis dan bar-bar..",0.126
sutresnoo237,"pemicu geger indonesia adalah kenaikan pajak,,kebijakan tidak pro rakyat anti korupsi,",0.124
sinta.singapore,gedung fpr jakarta belum,0.231
ifransyah1,"gacor banget,mantap keren boleh.. gasken saja kesuwen.. tuman..",0.203
rapimlehoi03,a.sih.a.b,0.247
user127701271840,0k,0.400
user5395106367867,bientôt inchallah au maroc,0.148
dunnobangag,philippines when ?,0.215
sumadipcg,selamat berjuang saudaraku semua,0.179
jack13799,semoga indonesia pulih dari sebarang kejadian yang tak di ingini,0.147
bigx070,revolution now!,0.245
rafasy4.1,lol.....,0.216
sfg_huuu.ju,"cirebon ini bos, menyala",0.283
rabuan030,mantap sehat selalu rakyat,0.244
noufsamirashe,merdeka ramat.jalan terus rayat,0.208
antiquaires.insolite,finalement les français dormez,0.221
mas_hamas,mantap,0.405
enjatyani36gmail.com,banten turun cirebon turun hancur negara ..ya allah semoga negaraku trcinta baik baik' saja,0.171
ahlull.baitt,allahhuakbar,0.000
longnguyen0343,dooc indonesia,0.406
asalole099,menang dalam hal apa,0.168
jmmznh,wira2 berhati mulia,0.092
farahinmanaf_,pengkhianat bangsa,0.234
martondang7,jangan anarkis.. bro..,0.219
virrasalamahh,waduh waduh kapan selesai nya nih,0.263
user5578800918430,ini demo bayarn,0.330
user962073530623,sama,0.405
user962073530623,alhamdulillah,0.400
triol924,long live revolutio. solidarity tapi indonesian people,0.176
userfkcf7nobbw,hai lắm,0.147
stefanussengtau,di bangun dari uang rakyat... di hancur kan oleh rakyat sendiri.....,0.139
yapin.jenggo,teruskan,0.244
wis.ma690,lindungi apa yang bikin ulah dpr dulu enggak ada belas kasihan sama rkyt,0.167
paksongot999,cocok bos,0.306
kikiaditya68,man terus p,0.285
galang_ucil99,anarkis,0.402
saumiaeidiono,bismillah mantap boskkku,0.213
user8850615731067,kalian pikir ini ide bagus !!!ayolah jangan bodoh kalian,0.177
ujang.saefulloh0,"lanjutkan, kawan sampai jokowi dan keluarga besar dan geng solo,di adili",0.197
the_nextdoor,pejabat harus tahu diri agar rakyat tidak marah,0.159
andi.aco007,"baru kau tau semua,,rakyat sudah.mengamuk semua,. karena tidak ada keadilan ya ,,",0.136
user4788182795135,tempat tikus berdasi,0.211
bung.edi97,"enggak berani bakar ngedung, selagi ada puan dan nenek lampir mega presiden probowo minyak angin takut apa lagi masakat",0.101
user9917103846514,tempat mafia dpr,0.238
user180812088,sang penguasa nkri deh bangkit hidup rakyat,0.212
mister.eko3,mantap buat masarakat ku,0.214
momon2289,alhamdulilah dulilah semoga sukes,0.114
user8705785084300,jangan di rusak fasilitasnya..anggota dprna ayo di nepalkan,0.147
andi.aco007,"tapi ayah dan mama tidak jujur dan tidak.baik sama anaknya ,,maka anak.marah dan.membabi buta hahaha nampa sudah kan anak.marah,,,",0.186
wasmenamen,telanjangi biar seperti nepal,0.157
mb.liii,"mas2 maaf ya kalo di kantor dpr enggak ada orangnya cari kerumahnya jangang merusak fasilitas dpr sapa tau mas2 nya jadi anggota dpr ,biar enggak bikin lagi ,bagaimana kawan",0.127
mistamperintis8.m,lanjutkan,0.401
irnandyas2001,sip,0.400
user25627397818372,merdeka rakyat indonesia.. hancurkan kedzoliman.. yang menjajah rakyat,0.161
kus2331,karepmu karepmu bubarno negoro iki,0.340
budiono1857,mau jadi apa nagara ini,0.214
donpablo_hdf,dónde es esto?,0.343
ilauwatu,iyaiyaaamoinaamiinaamiinaamiin,0.000
bandizen2,se7 cocok,0.274
tienboy6,đănhf nào cũng nghèo vậy thì làm tới luoin,0.103
pai.sal312,tembok firaun,0.096
sonyq43,"semangat abang,,ku rakyat mendukung",0.179
lukman95735,ru perampasan aset harus di sahkan. biar negera kita bersih,0.403
surya.wp3,ayo smangatv,0.312
agus.ahmad.syarif,alhamdulillah bangkit bersatu bersemangat untuk melawan kezoliman,0.145
anaroslin3,enggak mau ngesahkan ..bubarkan aha dpr ..enggak penting dpr,0.186
kastamin.min,mantap itu menguasai gedung biar kota kecil,0.143
wawandarmawan245,gaspol,0.000
mutiara.kelapa5,"lebih baik negara ini tidak memiliki dpr,",0.115
anakrantaucilacap8,rakyat sudah muak hilang kesabaran. good laike. the best,0.214
karimhalawa2,jangan ada gedung itu lagi,0.151
arymandraguna,bantu ke jakarta bang....gedung dpr jakarta butuh rakyat yang banyak bang...,0.227
anjas.anjas11985,salam dari malaysia,0.402
wajenggot.12,mantap hidup rakyat,0.358
tinikartini612,mantap rakyat sudah sengsara di bikin sengsara,0.155
muhammadchusenchu,orang orang dpr mana kok kantornya saja di rusak bos' bos.bikin kayak nepal bosku,0.152
tinah.kartinah66,"bndung jangan hncurkn gdung dprnya ,jka mau dtang ke pusat jkarta itu sasaran utama rkyt, yang enggak benar dpr jkart pusat",0.127
kidianto,ikut senang abang2ku,0.251
sofy84427,lanjutkan boz setuju banget,0.203
user94915135097716,antap,0.000
maryatirahim,alhamdulilah kalo menang tapi jangan dirusak ya adik2 karena itu milik kita rakyat indonesia,0.148
riksamahendra,jakrta kapan ..kok lama banget,0.163
wiwin.868,alhamdulillah gedung wakil rakyat sudah di sita rakyat,0.159
ammardeni,#nepalkadpr,0.000
cece_fyu,lanjut bolo.. habis itu apa nya,0.162
user8150860038209,demo monggo massse tololong jangan anarkis ya,0.253
tinik.suhartining,semangat kawan,0.402
.abh39,hebat,0.361
junna.junaida,baru mantap bro lanjut terus lawan kezaliman terhadap rakyat indonesia,0.210
fikrizibran723,rakyay mnang enggak ada lagi yang bisa di koropsi mntap mkmur indonesia,0.174
user80275943347268,lambang negara indonesia jangan disentuh bahwa selama ini semua kesalahan dari dpr guna cara caranya sendiri untuk mempersulitkan rakyat,0.111
nuril2676,kejar puan maharani,0.302
mohammad_yasin01,semoga tidak ada penyusup dari pki gaya baru,0.157
hptonichin,"yang merusak fasilitas itu kurang tepat masalah yang mau diselesaikan itu koruptor bukan gedungnya,",0.107
boy59520,langsung di sahkan uud perampasan aser ketuk palu,0.204
alzam.s72,gedung perampok,0.163
abahateng00,nih seharusnya di jakarta,0.248
dediujungberung,cirebon itu keras bosku,0.287
classzz.v.sdn002,jangan di rusak ya nak,0.205
abdsalam899,presiden yang pro rakyat akam terus di ganggu.yang pro koruptor sampai kiamat akan aman.,0.145
sujarnosujarnojj,pdip. ini yang molor molor ru aset..ada apa di bajumu .jangan rakyat marah..kalian harus nanggung ini semua.maaf jangan sampai di telanjangi kayak di nepal masa allah.mega wati mana suaramu..jumpa rakyat,0.137
a6327679124857,mantap.. sebentar lagi ke jakarta,0.128
prasastidinasti,"nepal nepal nepal, huh",0.365
tamir.panjer,merdeka,0.364
user6216341768185,jangan di rusak ya adek adek...,0.291
sabdo.geni7,piye iki wo rakyat e.. wes ra kuat menahan 2 tingkah laku pejabat 2 indonesia emas iki...!,0.141
kar.min582,puan pecat ajan,0.298
albar.146,enggak ada yang datangi rumah nya paro dpr,0.161
farhanmaulana2301,bubarkan dpr enggak gunanya,0.267
jonestanjaya999999,nepal,0.401
sis.wanto118,matap,0.000
ibu.cucu89,coba saja. sah kan uud perampasan aset pasti aman,0.273
ibu.cucu89,puan maharani harus tanggung jawab,0.227
jokokandong,cocok,0.306
roniah.86,alhamdulilh semoga mahasiswa di beri kekuatn,0.174
mujiyanto.yanto32,kalau demo.jangsn merusak fasilitas nanti ujong ujongnya yang mbangon,0.191
werthojay,gas....,0.402
user6580042724920,petul. pagus,0.000
.garuda.di.dada.ku,nepal baru paten...dalam 3 hari dpr bubar...,0.263
abrahamarip,"jangan lupa lngserkan maharani, ktua dpr.",0.316
gunarso977,"palisitas negara kejer saja di rumahnya oknum dan pejabat"" saja ke rumahnya",0.127
maksalminaspd,bagus lanjutkan kantor sarang korupsi,0.186
_aji99,lanjut,0.400
rafarafa5096,h,0.000
mamathtiara97,bubarkan,0.252
kiki.riski796,"alhamdulillah semangat,",0.330
arbain.cuy,dpr ini bikin malu kerna dunia meliat,0.095
harujioji3,gedung mentri yang utama itu terus ke rumah bahlil yang bikin gadi,0.074
tiopansiahaan1,mantap; lanjutkan,0.403
meteor7812,sarang tikus sudah di rusak,0.308
desi.rara96,kami ikut senang biar pejabat tolol..,0.252
herman.t,kalian rusak kantor dpr mereka bangun lagi mereka ketawa lihat kantor nya di rusak mereka bisa bangun kator baru lagi lebih megah dari yang di rusak,0.123
